name,accuracy,precision0,recall0,precision1,recall1,balanced_accuracy,f1_score0,f1_score1,average_f1_score,fowlkes_mallows0,fowlkes_mallows1,markedness,mcc,jaccard_index,cohens_kappa
"LinearSVC(C=8), thr=0.8",0.7777777777777778,0.725,0.9666666666666667,0.9285714285714286,0.5416666666666666,0.7541666666666667,0.8285714285714286,0.6842105263157895,0.7563909774436091,0.8371578903249574,0.7092081432669752,0.8267857142857142,0.7881979106695358,0.6363636363636364,0.7652173913043478
"PolySVC(degree=2, gamma=0.001), thr=0.2",0.6666666666666666,0.9545454545454546,0.42,0.5735294117647058,0.975,0.6975,0.5833333333333334,0.7222222222222222,0.6527777777777778,0.6331738236133037,0.7477908641261861,0.7640374331550802,0.7283580369685472,0.5,0.6845794392523364
"PolySVC(degree=2, gamma=0.01), thr=0.2",0.6814814814814815,0.9102564102564102,0.47333333333333333,0.5885416666666666,0.9416666666666667,0.7075,0.6228070175438597,0.7243589743589743,0.673582995951417,0.6563952321998544,0.744452865831306,0.7493990384615384,0.7274869237577607,0.5168539325842697,0.6957547169811321
"PolySVC(degree=2, gamma=0.1), thr=0.2",0.7333333333333333,0.875,0.6066666666666667,0.6445783132530121,0.8916666666666667,0.7491666666666668,0.7165354330708661,0.7482517482517482,0.7323935906613072,0.7285830998131465,0.7581220191921191,0.759789156626506,0.7544224797315895,0.5789473684210527,0.7399678972712681
"PolySVC(degree=3, gamma=0.001), thr=0.2",0.44814814814814813,1.0,0.006666666666666667,0.44609665427509293,1.0,0.5033333333333333,0.013245033112582781,0.6169665809768637,0.31510580704472324,0.08164965809277261,0.6679046745420284,0.7230483271375465,0.5272670941574606,0.28878281622911695,0.5029651593773166
"PolySVC(degree=3, gamma=0.01), thr=0.2",0.6518518518518519,0.9117647058823529,0.41333333333333333,0.5643564356435643,0.95,0.6816666666666666,0.5688073394495413,0.7080745341614907,0.638440936805516,0.613891476645538,0.7322148686426588,0.7380605707629586,0.7079607423416036,0.4835164835164835,0.6700468018720749
"PolySVC(degree=3, gamma=0.1), thr=0.2",0.7037037037037037,0.8723404255319149,0.5466666666666666,0.6136363636363636,0.9,0.7233333333333334,0.6721311475409836,0.7297297297297297,0.7009304386353566,0.6905645752745455,0.7431505414602934,0.7429883945841393,0.7329536608937304,0.5428571428571428,0.7133757961783439
"PolySVC(degree=4, gamma=0.001), thr=0.2",0.4444444444444444,0.0,0.0,0.4444444444444444,1.0,0.5,0.0,0.6153846153846154,0.3076923076923077,0.0,0.6666666666666666,0.2222222222222222,0.5,0.2857142857142857,0.5
"PolySVC(degree=4, gamma=0.01), thr=0.2",0.5370370370370371,0.8787878787878788,0.19333333333333333,0.48945147679324896,0.9666666666666667,0.58,0.31693989071038253,0.6498599439775911,0.4833999173439868,0.4121880516208468,0.6878491313993261,0.6841196777905638,0.6213654572901413,0.3670886075949367,0.5728929384965831
"PolySVC(degree=4, gamma=0.1), thr=0.2",0.6592592592592592,0.8717948717948718,0.4533333333333333,0.5729166666666666,0.9166666666666666,0.6849999999999999,0.5964912280701754,0.7051282051282052,0.6508097165991903,0.628660222388593,0.7246886304552536,0.7223557692307692,0.7028196669647505,0.49171270718232046,0.6745283018867925
"PolySVC(degree=2, gamma=0.001), thr=0.5",0.8185185185185185,0.8531468531468531,0.8133333333333334,0.7795275590551181,0.825,0.8191666666666666,0.8327645051194539,0.8016194331983806,0.8171919691589172,0.833002265238681,0.8019415416478138,0.8163372061009856,0.8177487869589717,0.6927899686520376,0.8173156586578294
"PolySVC(degree=2, gamma=0.01), thr=0.5",0.8148148148148148,0.8246753246753247,0.8466666666666667,0.8017241379310345,0.775,0.8108333333333333,0.8355263157894737,0.788135593220339,0.8118309545049063,0.8355986525989066,0.7882488229591921,0.8131997313031796,0.8120142889036841,0.6875,0.8118729096989966
"PolySVC(degree=2, gamma=0.1), thr=0.5",0.8333333333333334,0.8301886792452831,0.88,0.8378378378378378,0.775,0.8275,0.8543689320388349,0.8051948051948052,0.8297818686168201,0.8547315588743924,0.8058066296105563,0.8340132585415605,0.8307405964987682,0.7142857142857143,0.8299748110831234
"PolySVC(degree=3, gamma=0.001), thr=0.5",0.46296296296296297,0.6923076923076923,0.06,0.45136186770428016,0.9666666666666667,0.5133333333333333,0.11042944785276074,0.6153846153846154,0.3629070316186881,0.20380986614602722,0.6605425588969551,0.5718347800059862,0.53094829666955,0.30120481927710846,0.5119670905011219
"PolySVC(degree=3, gamma=0.01), thr=0.5",0.8185185185185185,0.806060606060606,0.8866666666666667,0.8380952380952381,0.7333333333333333,0.81,0.8444444444444444,0.7822222222222223,0.8133333333333334,0.8454034957977585,0.7839663096097782,0.8220779220779221,0.8159812586913278,0.6927899686520376,0.8139240506329114
"PolySVC(degree=3, gamma=0.1), thr=0.5",0.8222222222222222,0.8311688311688312,0.8533333333333334,0.8103448275862069,0.7833333333333333,0.8183333333333334,0.8421052631578947,0.7966101694915254,0.8193577163247101,0.8421781695485043,0.7967246167544522,0.820756829377519,0.8195427838102073,0.6981132075471698,0.8193979933110368
"PolySVC(degree=4, gamma=0.001), thr=0.5",0.4777777777777778,0.7647058823529411,0.08666666666666667,0.45849802371541504,0.9666666666666667,0.5266666666666666,0.15568862275449102,0.6219839142091153,0.38883626848180314,0.2574383611739353,0.6657437617118425,0.6116019530341781,0.554553204130568,0.31386861313868614,0.524006001500375
"PolySVC(degree=4, gamma=0.01), thr=0.5",0.7888888888888889,0.7597765363128491,0.9066666666666666,0.8461538461538461,0.6416666666666667,0.7741666666666667,0.8267477203647416,0.7298578199052133,0.7783027701349774,0.8299783488684006,0.736850539762792,0.8029651912333476,0.7882064478745681,0.6513761467889908,0.7809564474807856
